Uncertainty,ttHH,ttlf,ttcc,ttnb,ttmb,ttH,ttZZ,ttZH,ttZ
L1Prefiring,1,1,1,1,1,1,1,1,1
effTrigger_mu,1,1,1,1,1,1,1,1,1
effTrigger_e,1,1,1,1,1,1,1,1,1
eff_mu,1,1,1,1,1,1,1,1,1
eff_e,1,1,1,1,1,1,1,1,1
btag_lf,1,1,1,1,1,1,1,1,1
btag_hf,1,1,1,1,1,1,1,1,1
btag_hfstats1,1,1,1,1,1,1,1,1,1
btag_hfstats2,1,1,1,1,1,1,1,1,1
btag_lfstats2,1,1,1,1,1,1,1,1,1
btag_cferr1,1,1,1,1,1,1,1,1,1
btag_cferr2,1,1,1,1,1,1,1,1,1
PU,1,1,1,1,1,1,1,1,1
JES,1,1,1,1,1,1,1,1,1
JER,1,1,1,1,1,1,1,1,1
FSR_ttH,-,-,-,-,-,1,-,-,-
ISR_ttH,-,-,-,-,-,1,-,-,-
ISR_ttcc,-,1,1,-,1,-,-,-,-
ISR_ttlf,-,1,1,-,1,-,-,-,-
FSR_ttcc,-,1,1,-,1,-,-,-,-
FSR_ttlf,-,1,1,-,1,-,-,-,-
FSR_ttbb,-,1,1,-,1,-,-,-,-
ISR_ttbb,-,1,1,-,1,-,-,-,-
PDF,-,1,1,-,-,1,-,-,-
PDF_ttbbNLO,-,-,-,-,1,-,-,-,-
scaleMuR,-,1,1,-,1,-,-,-,-
scaleMuR_ttbbNLO,-,1,1,-,1,-,-,-,-
scaleMuR_ttH,-,-,-,-,-,1,-,-,-
scaleMuF,-,1,1,-,1,-,-,-,-
scaleMuF_ttbbNLO,-,1,1,-,1,-,-,-,-
scaleMuF_ttH,-,-,-,-,-,1,-,-,-