Uncertainty,Type,ttHH,ttbar,ttH,ttZZ,ttZH,ttZ
L1Prefiring,shape,1,1,1,1,1,1
lumi_13TeV,lnN,1.023,1.023,1.023,1.023,1.023,1.023
QCDscale_ttHH,lnN,0.957/1.015,-,-,-,-,-
QCDscale_ttH,lnN,-,-,0.907/1.059,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,-,0.900/1.052,0.932/1.019,0.887/1.096
pdf_Higgs_ttH,lnN,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-
pdf_gg,lnN,-,1.042,-,1.026,1.03,1.028
effTrigger_mu_2017,shape,1,1,1,1,1,1
effTrigger_e_2017,shape,1,1,1,1,1,1
eff_mu_2017,shape,1,1,1,1,1,1
eff_e_2017,shape,1,1,1,1,1,1
btag_lf,shape,1,1,1,1,1,1
btag_hf,shape,1,1,1,1,1,1
btag_hfstats1_2017,shape,1,1,1,1,1,1
btag_hfstats2_2017,shape,1,1,1,1,1,1
btag_lfstats1_2017,shape,1,1,1,1,1,1
btag_lfstats2_2017,shape,1,1,1,1,1,1
btag_cferr1,shape,1,1,1,1,1,1
btag_cferr2,shape,1,1,1,1,1,1
PU,shape,1,1,1,1,1,1
JES,shape,1,1,1,1,1,1
PDF,shape,-,1,1,-,-,-
scaleMuR,shape,-,1,-,-,-,-
scaleMuR_ttbbNLO,shape,-,1,-,-,-,-
scaleMuR_ttH,shape,-,-,1,-,-,-
scaleMuF,shape,-,1,-,-,-,-
scaleMuF_ttbbNLO,shape,-,1,-,-,-,-
scaleMuF_ttH,shape,-,-,1,-,-,-
FSR_ttH,shape,-,-,1,-,-,-
ISR_ttH,shape,-,-,1,-,-,-
ISR_ttcc,shape,-,1,-,-,-,-
ISR_ttlf,shape,-,1,-,-,-,-
FSR_ttcc,shape,-,1,-,-,-,-
FSR_ttlf,shape,-,1,-,-,-,-
FSR_ttbb,shape,-,1,-,-,-,-
ISR_ttbb,shape,-,1,-,-,-,-
JER_ttHH_2017,shape,1,-,-,-,-,-
JER_ttH_2017,shape,-,-,1,-,-,-
JER_ttZ_2017,shape,-,-,-,-,-,1
JER_ttZZ_2017,shape,-,-,-,1,-,-
JER_ttZH_2017,shape,-,-,-,-,1,-
JER_ttbar_2017,shape,-,1,-,-,-,-