Uncertainty,Type,ttHH,ttlf,ttcc,ttb,tt2b,ttbb,ttbbb,tt4b,ttH,ttZZ,ttZH,ttZ
L1PreFiring_,shape,1,1,1,1,1,1,1,1,1,1,1,1
lumi_13TeV,lnN,x,x,x,x,x,x,x,x,x,x,x,x
QCDscale_ttHH,lnN,0.955/1.017,-,-,-,-,-,-,-,-,-,-,-
QCDscale_ttH,lnN,-,-,-,-,-,-,-,-,0.908/1.060,-,-,-
QCDscale_ttbar,lnN,-,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,0.965/1.024,-,0.913/1.043,0.774/1.322,0.888/1.096
pdf_Higgs_ttH,lnN,-,-,-,-,-,-,-,-,1.036,-,-,-
pdf_Higgs_ttHH,lnN,1.032,-,-,-,-,-,-,-,-,-,-,-
pdf_gg,lnN,-,1.042,1.042,1.042,1.042,1.042,1.042,1.042,-,1.018,1.028,1.035
effTrigger_mu,shape,1,1,1,1,1,1,1,1,1,1,1,1
effTrigger_e,shape,1,1,1,1,1,1,1,1,1,1,1,1
eff_mu,shape,1,1,1,1,1,1,1,1,1,1,1,1
eff_e,shape,1,1,1,1,1,1,1,1,1,1,1,1
btag_lf,shape,1,1,1,1,1,1,1,1,1,1,1,1
btag_hf,shape,1,1,1,1,1,1,1,1,1,1,1,1
btag_hfstats1,shape,1,1,1,1,1,1,1,1,1,1,1,1
btag_lfstats1,shape,1,1,1,1,1,1,1,1,1,1,1,1
btag_hfstats2,shape,1,1,1,1,1,1,1,1,1,1,1,1
btag_lfstats2,shape,1,1,1,1,1,1,1,1,1,1,1,1
btag_cferr1,shape,1,1,1,1,1,1,1,1,1,1,1,1
btag_cferr2,shape,1,1,1,1,1,1,1,1,1,1,1,1
PU_,shape,1,1,1,1,1,1,1,1,1,1,1,1
JES,shape,1,1,1,1,1,1,1,1,1,1,1,1
JER,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESFlavorQCD,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESRelativeBal,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESHF,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESBBEC1,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESEC2,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESAbsolute,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESBBEC1year,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESRelativeSampleyear,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESEC2year,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESHFyear,shape,1,1,1,1,1,1,1,1,1,1,1,1
JESAbsoluteyear,shape,1,1,1,1,1,1,1,1,1,1,1,1
FSR_ttH,shape,-,-,-,-,-,-,-,-,1,-,-,-
ISR_ttH,shape,-,-,-,-,-,-,-,-,1,-,-,-
ISR_ttcc,shape,-,1,1,-,-,1,1,1,-,-,-,-
ISR_ttlf,shape,-,1,1,-,-,1,1,1,-,-,-,-
FSR_ttcc,shape,-,1,1,-,-,1,1,1,-,-,-,-
FSR_ttlf,shape,-,1,1,-,-,1,1,1,-,-,-,-