Unnamed: 0,Name,ttSL,ttDL
0,GenWeight_fsr_Def_down,0.900217884,0.907023183
1,GenWeight_fsr_Def_up,1.149050647,1.135641925
2,GenWeight_isr_Def_down,0.980168082,0.979057082
3,GenWeight_isr_Def_up,1.025479123,1.027030976
4,Weight_LHA_306000_down,0.998354751,0.998051822
5,Weight_LHA_306000_nominal,1,1
6,Weight_LHA_306000_up,1.00151185,1.00185077
7,Weight_pdf_variation_306000,1,1
8,Weight_pdf_variation_306001,1,1.000048704
9,Weight_pdf_variation_306002,0.999822135,0.999805182
10,Weight_pdf_variation_306003,0.999822135,0.999805182
11,Weight_pdf_variation_306004,1.000177865,1.000194818
12,Weight_pdf_variation_306005,1.000044466,1.000097409
13,Weight_pdf_variation_306006,0.999822135,0.999853887
14,Weight_pdf_variation_306007,1.000133399,1.000194818
15,Weight_pdf_variation_306008,0.999911068,0.999951296
16,Weight_pdf_variation_306009,0.999955534,0.999951296
17,Weight_pdf_variation_306010,1,1.000048704
18,Weight_pdf_variation_306011,0.999733203,0.999707773
19,Weight_pdf_variation_306012,0.999644271,0.999659069
20,Weight_pdf_variation_306013,0.999466406,0.999464251
21,Weight_pdf_variation_306014,0.999510872,0.999464251
22,Weight_pdf_variation_306015,0.999777669,0.999756478
23,Weight_pdf_variation_306016,1,1
24,Weight_pdf_variation_306017,1.000044466,1.000097409
25,Weight_pdf_variation_306018,0.999822135,0.999805182
26,Weight_pdf_variation_306019,1.000088932,1.000097409
27,Weight_pdf_variation_306020,0.999777669,0.999805182
28,Weight_pdf_variation_306021,1,1
29,Weight_pdf_variation_306022,0.999688737,0.999659069
30,Weight_pdf_variation_306023,1.000355729,1.00043834
31,Weight_pdf_variation_306024,0.999644271,0.999659069
32,Weight_pdf_variation_306025,0.999822135,0.999805182
33,Weight_pdf_variation_306026,1.000489128,1.000535749
34,Weight_pdf_variation_306027,0.999688737,0.999707773
35,Weight_pdf_variation_306028,0.999644271,0.999659069
36,Weight_pdf_variation_306029,1.001156121,1.00131502
37,Weight_pdf_variation_306030,1.000355729,1.000389636
38,Weight_pdf_variation_306031,1,1
39,Weight_pdf_variation_306032,1.000133399,1.000146113
40,Weight_pdf_variation_306033,0.999955534,1
41,Weight_pdf_variation_306034,1.000088932,1.000097409
42,Weight_pdf_variation_306035,0.999911068,0.999902591
43,Weight_pdf_variation_306036,0.999911068,0.999902591
44,Weight_pdf_variation_306037,1.000133399,1.000194818
45,Weight_pdf_variation_306038,0.999955534,1
46,Weight_pdf_variation_306039,1.000044466,1.000097409
47,Weight_pdf_variation_306040,1.000088932,1.000146113
48,Weight_pdf_variation_306041,0.999955534,1
49,Weight_pdf_variation_306042,0.999733203,0.999756478
50,Weight_pdf_variation_306043,1,1
51,Weight_pdf_variation_306044,1.000044466,1.000097409
52,Weight_pdf_variation_306045,0.999866601,0.999902591
53,Weight_pdf_variation_306046,1.000133399,1.000146113
54,Weight_pdf_variation_306047,1.000222331,1.000243522
55,Weight_pdf_variation_306048,0.999644271,0.999659069
56,Weight_pdf_variation_306049,0.999911068,0.999951296
57,Weight_pdf_variation_306050,1,1.000048704
58,Weight_pdf_variation_306051,1,1
59,Weight_pdf_variation_306052,1,1
60,Weight_pdf_variation_306053,1,1.000048704
61,Weight_pdf_variation_306054,1.000044466,1.000097409
62,Weight_pdf_variation_306055,1.000044466,1.000048704
63,Weight_pdf_variation_306056,1,1
64,Weight_pdf_variation_306057,0.999911068,0.999951296
65,Weight_pdf_variation_306058,0.999911068,0.999951296
66,Weight_pdf_variation_306059,1,1
67,Weight_pdf_variation_306060,1,1
68,Weight_pdf_variation_306061,1,1.000048704
69,Weight_pdf_variation_306062,0.999911068,0.999951296
70,Weight_pdf_variation_306063,1.000044466,1.000048704
71,Weight_pdf_variation_306064,1.000044466,1.000097409
72,Weight_pdf_variation_306065,0.999955534,0.999951296
73,Weight_pdf_variation_306066,1.000133399,1.000146113
74,Weight_pdf_variation_306067,1,1
75,Weight_pdf_variation_306068,1,1
76,Weight_pdf_variation_306069,1.000088932,1.000097409
77,Weight_pdf_variation_306070,0.999822135,0.999853887
78,Weight_pdf_variation_306071,0.999955534,1
79,Weight_pdf_variation_306072,1,1
80,Weight_pdf_variation_306073,0.999822135,0.999853887
81,Weight_pdf_variation_306074,0.999911068,0.999951296
82,Weight_pdf_variation_306075,0.999911068,0.999951296
83,Weight_pdf_variation_306076,1.000088932,1.000146113
84,Weight_pdf_variation_306077,0.999777669,0.999805182
85,Weight_pdf_variation_306078,1.000044466,1.000097409
86,Weight_pdf_variation_306079,1.000044466,1.000097409
87,Weight_pdf_variation_306080,1.000088932,1.000146113
88,Weight_pdf_variation_306081,1.000044466,1.000048704
89,Weight_pdf_variation_306082,1.000088932,1.000146113
90,Weight_pdf_variation_306083,1,1.000048704
91,Weight_pdf_variation_306084,0.999955534,0.999951296
92,Weight_pdf_variation_306085,1.000044466,1.000097409
93,Weight_pdf_variation_306086,1,1.000048704
94,Weight_pdf_variation_306087,0.999911068,0.999951296
95,Weight_pdf_variation_306088,1,1.000048704
96,Weight_pdf_variation_306089,0.999955534,0.999951296
97,Weight_pdf_variation_306090,1.000044466,1.000097409
98,Weight_pdf_variation_306091,1,1
99,Weight_pdf_variation_306092,0.999955534,1
100,Weight_pdf_variation_306093,1.000044466,1.000097409
101,Weight_pdf_variation_306094,0.999955534,1
102,Weight_pdf_variation_306095,1.000044466,1.000097409
103,Weight_pdf_variation_306096,0.999955534,0.999951296
104,Weight_pdf_variation_306097,1.000088932,1.000146113
105,Weight_pdf_variation_306098,1,1
106,Weight_pdf_variation_306099,1,1.000048704
107,Weight_pdf_variation_306100,1,1
108,Weight_pdf_variation_306101,0.997598826,0.997321255
109,Weight_pdf_variation_306102,1.002979234,1.003311903
110,Weight_scale_variation_muR_0p5_muF_0p5,1.024411935,1.026884863
111,Weight_scale_variation_muR_0p5_muF_1p0,1.017252879,1.01943308
112,Weight_scale_variation_muR_1p0_muF_0p5,1.004668949,1.004821742
113,Weight_scale_variation_muR_1p0_muF_1p0,1,1
114,Weight_scale_variation_muR_1p0_muF_2p0,0.995197652,0.995080849
115,Weight_scale_variation_muR_2p0_muF_1p0,0.987860732,0.986314046
116,Weight_scale_variation_muR_2p0_muF_2p0,0.984659167,0.983099552